,day,hour,relative_time,dns_name
0,3.0,13.0,0.0,e4.whatsapp.net
2,3.0,13.0,37.891851,2.android.pool.ntp.org
4,3.0,13.0,39.449139,e13.whatsapp.net
6,3.0,13.0,43.688021,settings.crashlytics.com
8,3.0,13.0,72.810702,edge-mqtt.facebook.com
10,3.0,13.0,322.896691,settings.crashlytics.com
12,3.0,13.0,323.732595,track.appsflyer.com
14,3.0,13.0,326.050456,api.appsflyer.com
16,3.0,14.0,420.467742,api.dropbox.com
18,3.0,14.0,454.932057,settings.crashlytics.com
20,3.0,14.0,489.568565,edge-mqtt.facebook.com
22,3.0,14.0,492.007724,3.112.252.173.in-addr.arpa
24,3.0,14.0,702.003408,settings.crashlytics.com
26,3.0,14.0,702.003771,settings.crashlytics.com
28,3.0,14.0,703.319002,api.appsflyer.com
30,3.0,14.0,874.071829,e9.whatsapp.net
32,3.0,14.0,875.108746,settings.crashlytics.com
34,3.0,14.0,875.722169,track.appsflyer.com
36,3.0,14.0,877.255005,api.appsflyer.com
38,3.0,14.0,942.287219,track.appsflyer.com
40,3.0,14.0,943.857565,api.appsflyer.com
42,3.0,14.0,945.48711,settings.crashlytics.com
44,3.0,14.0,1164.199448,e3.whatsapp.net
46,3.0,14.0,1273.42234,zj.dcys.ksmobile.com
48,3.0,14.0,1274.311239,settings.crashlytics.com
50,3.0,14.0,1276.963845,play.googleapis.com
52,3.0,14.0,1279.951247,track.appsflyer.com
54,3.0,14.0,1281.789401,api.appsflyer.com
56,3.0,14.0,1415.499374,settings.crashlytics.com
58,3.0,14.0,1435.60676,settings.crashlytics.com
60,3.0,14.0,1436.027989,track.appsflyer.com
62,3.0,14.0,1436.175857,settings.crashlytics.com
64,3.0,14.0,1436.326266,settings.crashlytics.com
66,3.0,14.0,1437.346989,api.appsflyer.com
68,3.0,14.0,1505.680418,mtalk.google.com
70,3.0,14.0,1537.559609,graph.facebook.com
72,3.0,14.0,1670.557743,settings.crashlytics.com
74,3.0,14.0,1681.787909,track.appsflyer.com
76,3.0,14.0,1683.304646,api.appsflyer.com
78,3.0,14.0,1796.57546,settings.crashlytics.com
80,3.0,14.0,1886.220147,settings.crashlytics.com
82,3.0,14.0,1886.802087,track.appsflyer.com
84,3.0,14.0,1887.939755,api.appsflyer.com
86,3.0,14.0,2095.965485,settings.crashlytics.com
88,3.0,14.0,2110.913005,edge-mqtt.facebook.com
90,3.0,14.0,2113.097675,12.152.220.66.in-addr.arpa
92,3.0,14.0,2113.192757,b-graph.facebook.com
94,3.0,14.0,2148.771505,api.dropbox.com
96,3.0,14.0,2149.237898,api.dropbox.com
98,3.0,14.0,2149.312912,api.dropbox.com
100,3.0,14.0,2291.926168,api.dropbox.com
102,3.0,14.0,2292.187027,api.dropbox.com
104,3.0,14.0,2292.835534,etl.tindersparks.com
106,3.0,14.0,2297.626884,android.clients.google.com
108,3.0,14.0,2300.556723,mtalk.google.com
110,3.0,14.0,2300.905347,2.android.pool.ntp.org
112,3.0,14.0,2302.719747,api.mixpanel.com
114,3.0,14.0,2305.011867,api.dropbox.com
116,3.0,14.0,2305.589418,edge-mqtt.facebook.com
118,3.0,14.0,2308.665398,ew1.reg.bigdata.ssp.samsung.com
120,3.0,14.0,2308.7699,e9.whatsapp.net
122,3.0,14.0,2352.275679,graph.facebook.com
124,3.0,14.0,2379.196142,e.crashlytics.com
126,3.0,14.0,2583.345737,play.googleapis.com
128,3.0,14.0,2828.676683,settings.crashlytics.com
130,3.0,14.0,2925.075498,settings.crashlytics.com
132,3.0,14.0,2929.479088,track.appsflyer.com
134,3.0,14.0,2930.990256,api.appsflyer.com
136,3.0,14.0,3010.090732,settings.crashlytics.com
138,3.0,14.0,3669.733869,settings.crashlytics.com
140,3.0,14.0,3670.5591,track.appsflyer.com
142,3.0,14.0,3671.905455,api.appsflyer.com
144,3.0,14.0,3675.334993,graph.facebook.com
146,3.0,14.0,3677.51181,api.facebook.com
148,3.0,14.0,3694.589449,settings.crashlytics.com
150,3.0,14.0,3701.49598,fbcdn-profile-a.akamaihd.net
