,day,hour,relative_time,dns_name
0,3.0,13.0,0.0,e4.whatsapp.net
2,3.0,13.0,37.891851,2.android.pool.ntp.org
4,3.0,13.0,39.449139,e13.whatsapp.net
6,3.0,13.0,43.688021,settings.crashlytics.com
8,3.0,13.0,72.810702,edge-mqtt.facebook.com
10,3.0,13.0,322.896691,settings.crashlytics.com
12,3.0,13.0,323.732595,track.appsflyer.com
14,3.0,13.0,326.050456,api.appsflyer.com
16,3.0,14.0,420.467742,api.dropbox.com
18,3.0,14.0,454.932057,settings.crashlytics.com
20,3.0,14.0,489.568565,edge-mqtt.facebook.com
22,3.0,14.0,492.007724,3.112.252.173.in-addr.arpa
24,3.0,14.0,702.003408,settings.crashlytics.com
25,3.0,14.0,702.003486,track.appsflyer.com
28,3.0,14.0,703.319002,api.appsflyer.com
30,3.0,14.0,874.071829,e9.whatsapp.net
32,3.0,14.0,875.108746,settings.crashlytics.com
34,3.0,14.0,875.722169,track.appsflyer.com
36,3.0,14.0,877.255005,api.appsflyer.com
38,3.0,14.0,942.287219,track.appsflyer.com
40,3.0,14.0,943.857565,api.appsflyer.com
42,3.0,14.0,945.48711,settings.crashlytics.com
44,3.0,14.0,1164.199448,e3.whatsapp.net
46,3.0,14.0,1273.42234,zj.dcys.ksmobile.com
48,3.0,14.0,1274.311239,settings.crashlytics.com
50,3.0,14.0,1276.963845,play.googleapis.com
52,3.0,14.0,1279.951247,track.appsflyer.com
54,3.0,14.0,1281.789401,api.appsflyer.com
56,3.0,14.0,1415.499374,settings.crashlytics.com
58,3.0,14.0,1435.60676,settings.crashlytics.com
60,3.0,14.0,1436.027989,track.appsflyer.com
62,3.0,14.0,1436.175857,settings.crashlytics.com
65,3.0,14.0,1437.346712,api.appsflyer.com
67,3.0,14.0,1505.68009,mtalk.google.com
69,3.0,14.0,1537.558706,graph.facebook.com
71,3.0,14.0,1670.557377,settings.crashlytics.com
73,3.0,14.0,1681.787596,track.appsflyer.com
75,3.0,14.0,1683.225733,api.appsflyer.com
77,3.0,14.0,1796.526998,settings.crashlytics.com
79,3.0,14.0,1886.219859,settings.crashlytics.com
81,3.0,14.0,1886.751118,track.appsflyer.com
83,3.0,14.0,1887.903204,api.appsflyer.com
85,3.0,14.0,2095.96514,settings.crashlytics.com
87,3.0,14.0,2110.912624,edge-mqtt.facebook.com
89,3.0,14.0,2113.097279,12.152.220.66.in-addr.arpa
91,3.0,14.0,2113.171511,b-graph.facebook.com
93,3.0,14.0,2148.757015,api.dropbox.com
95,3.0,14.0,2149.237531,api.dropbox.com
97,3.0,14.0,2149.312456,api.dropbox.com
99,3.0,14.0,2291.925333,api.dropbox.com
101,3.0,14.0,2292.186715,api.dropbox.com
103,3.0,14.0,2292.786128,etl.tindersparks.com
105,3.0,14.0,2297.626518,android.clients.google.com
107,3.0,14.0,2300.556325,mtalk.google.com
109,3.0,14.0,2300.905089,2.android.pool.ntp.org
111,3.0,14.0,2302.719357,api.mixpanel.com
113,3.0,14.0,2305.010654,api.dropbox.com
115,3.0,14.0,2305.589036,edge-mqtt.facebook.com
117,3.0,14.0,2308.336604,ew1.reg.bigdata.ssp.samsung.com
119,3.0,14.0,2308.769549,e9.whatsapp.net
121,3.0,14.0,2352.275267,graph.facebook.com
123,3.0,14.0,2379.15974,e.crashlytics.com
125,3.0,14.0,2583.345343,play.googleapis.com
127,3.0,14.0,2828.618724,settings.crashlytics.com
129,3.0,14.0,2925.075097,settings.crashlytics.com
131,3.0,14.0,2929.421317,track.appsflyer.com
133,3.0,14.0,2930.937014,api.appsflyer.com
135,3.0,14.0,3010.090318,settings.crashlytics.com
137,3.0,14.0,3669.733462,settings.crashlytics.com
139,3.0,14.0,3670.558761,track.appsflyer.com
141,3.0,14.0,3671.905175,api.appsflyer.com
143,3.0,14.0,3675.334116,graph.facebook.com
145,3.0,14.0,3677.511529,api.facebook.com
147,3.0,14.0,3694.511522,settings.crashlytics.com
149,3.0,14.0,3701.489979,fbcdn-profile-a.akamaihd.net
151,3.0,14.0,3749.355753,edge-mqtt.facebook.com
