,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
1,173.27.225.158,172.31.0.2,53,44193,0.000323
3,173.27.225.158,172.31.0.2,53,62676,0.000368
5,173.27.225.158,172.31.0.2,53,33892,0.000404
7,173.27.225.158,172.31.0.2,53,11591,0.000413
9,173.27.225.158,172.31.0.2,53,48566,0.021365
11,173.27.225.158,172.31.0.2,53,27390,0.000391
13,173.27.225.158,172.31.0.2,53,1709,0.000382
15,173.27.225.158,172.31.0.2,53,23854,0.000427
17,173.27.225.158,172.31.0.2,53,45022,0.01292
19,173.27.225.158,172.31.0.2,53,41693,0.00042
21,173.27.225.158,172.31.0.2,53,29442,0.02
23,173.27.225.158,172.31.0.2,53,24520,0.00035
26,173.27.225.158,172.31.0.2,53,32128,0.000363
27,173.27.225.158,172.31.0.2,53,47080,0.000322
29,173.27.225.158,172.31.0.2,53,1767,0.000374
31,173.27.225.158,172.31.0.2,53,1066,0.000267
33,173.27.225.158,172.31.0.2,53,42872,0.000354
35,173.27.225.158,172.31.0.2,53,11925,0.057816
37,173.27.225.158,172.31.0.2,53,60526,0.079164
39,173.27.225.158,172.31.0.2,53,26661,0.063002
41,173.27.225.158,172.31.0.2,53,30391,0.067404
43,173.27.225.158,172.31.0.2,53,55685,0.041562
45,173.27.225.158,172.31.0.2,53,60954,0.000298
47,173.27.225.158,172.31.0.2,53,19346,0.085731
49,173.27.225.158,172.31.0.2,53,22062,0.000311
51,173.27.225.158,172.31.0.2,53,46534,0.000311
53,173.27.225.158,172.31.0.2,53,63985,0.000386
55,173.27.225.158,172.31.0.2,53,7282,0.000471
57,173.27.225.158,172.31.0.2,53,55190,0.0004
59,173.27.225.158,172.31.0.2,53,30863,0.000321
61,173.27.225.158,172.31.0.2,53,34680,0.00028
63,173.27.225.158,172.31.0.2,53,30863,0.000262
64,172.31.0.2~173.27.225.158,173.27.225.158~172.31.0.2,53,30863,0.150409
66,173.27.225.158,172.31.0.2,53,55447,0.000277
68,173.27.225.158,172.31.0.2,53,61709,0.000328
70,173.27.225.158,172.31.0.2,53,55116,0.000903
72,173.27.225.158,172.31.0.2,53,14114,0.000366
74,173.27.225.158,172.31.0.2,53,36737,0.000313
76,173.27.225.158,172.31.0.2,53,6842,0.078913
78,173.27.225.158,172.31.0.2,53,9146,0.048462
80,173.27.225.158,172.31.0.2,53,17868,0.000288
82,173.27.225.158,172.31.0.2,53,48539,0.050969
84,173.27.225.158,172.31.0.2,53,63278,0.036551
86,173.27.225.158,172.31.0.2,53,61393,0.000345
88,173.27.225.158,172.31.0.2,53,49649,0.000381
